property_id,property_name,listing_type,price_zar,price_tier,review_count,demand_score,suburb,city,region,country,url,has_promo_flag,discount_pct,price_outlier_flag
74554.0,At Kronenhof Lodge,Lodge,800.0,Mid-Range,12.0,1.11,Hardap,Hardap,Namibia,Namibia,https://www.lekkeslaap.co.za/accommodation/at-kronenhof-lodge,False,,False
81473.0,Bly in Styl,Self Catering,1700.0,Premium,60.0,6.67,Klein Windhoek,Klein Windhoek,Namibia,Namibia,https://www.lekkeslaap.co.za/accommodation/bly-in-styl,False,,False
45350.0,Conductors Inn,B&B,893.0,Mid-Range,12.0,1.11,Tsumeb,Tsumeb,Namibia,Namibia,https://www.lekkeslaap.co.za/accommodation/conductors-inn,False,,False
105074.0,Tree Top View Selfsorg,Self Catering,1215.0,Premium,50.0,5.56,Avis,Avis,Namibia,Namibia,https://www.lekkeslaap.co.za/accommodation/tree-top-selfsorg,False,,False
56678.0,FG Desert Rose,Self Catering,1858.0,Premium,13.0,1.44,Henties Bay,Henties Bay,Namibia,Namibia,https://www.lekkeslaap.co.za/accommodation/first-group-desert-rose,False,,False
101231.0,On The Beach No.4,Self Catering,2000.0,Premium,17.0,1.89,Vogelstrand,Vogelstrand,Namibia,Namibia,https://www.lekkeslaap.co.za/accommodation/on-the-beach-no4,False,,False
73886.0,Carmiya Garden Studio,Self Catering,1250.0,Premium,36.0,4.0,Suiderhof,Suiderhof,Namibia,Namibia,https://www.lekkeslaap.co.za/accommodation/carmiya-garden-studio,False,,False
109943.0,Casa Blanca Boutique Hotel,Hotel,1755.0,Premium,2.0,0.22,Pioneers Park,Pioneers Park,Namibia,Namibia,https://www.lekkeslaap.co.za/accommodation/casa-blanca-boutique-hotel,False,,False
72706.0,On The Beach 11,Self Catering,4500.0,Luxury,39.0,5.42,Vogelstrand,Vogelstrand,Namibia,Namibia,https://www.lekkeslaap.co.za/accommodation/on-the-beach-99,False,,False
40980.0,Kamaku Guesthouse,Guest House,1150.0,Mid-Range,44.0,4.07,Otjiwarongo,Otjiwarongo,Namibia,Namibia,https://www.lekkeslaap.co.za/accommodation/kamaku-guesthouse,False,,False
113273.0,Bree Street Apartment,Self Catering,1300.0,Premium,10.0,1.11,Cape Town CBD,Cape Town,Cape Town,South Africa,https://www.lekkeslaap.co.za/accommodation/bree-street-apartment,False,,False
15888.0,Simon's Town Penthouse,Self Catering,2750.0,Luxury,16.0,2.22,Simon's Town,Cape Town,Cape Town,South Africa,https://www.lekkeslaap.co.za/accommodation/simons-town-penthouse,False,,False
80060.0,Grandview Guesthouse,Guest House,825.0,Mid-Range,105.0,9.72,Plattekloof,Cape Town,Cape Town,South Africa,https://www.lekkeslaap.co.za/accommodation/grandview-guesthouse,False,,False
50220.0,Two Bedroom @ Cape Town Beachfront Apartments,Self Catering,2360.0,Premium,45.0,5.0,Milnerton,Cape Town,Cape Town,South Africa,https://www.lekkeslaap.co.za/accommodation/cape-town-beachfront-apartments,False,,False
129211.0,Selah Farm,Self Catering,966.0,Mid-Range,12.0,1.11,Joostenbergvlakte,Joostenbergvlakte Cape Town,Cape Town,South Africa,https://www.lekkeslaap.co.za/accommodation/selah-15,False,,False
15376.0,4 on Varneys,Guest House,2200.0,Premium,35.0,3.89,Green Point,Cape Town,Cape Town,South Africa,https://www.lekkeslaap.co.za/accommodation/4-on-varneys,False,,False
136239.0,Bikini Beach House,Self Catering,2334.0,Premium,23.0,2.56,Gordon's Bay,Cape Town,Cape Town,South Africa,https://www.lekkeslaap.co.za/accommodation/bikini-beach-house,False,,False
30395.0,"Son, See, en Sundowners",Self Catering,1500.0,Premium,124.0,13.78,Table View,Cape Town,Cape Town,South Africa,https://www.lekkeslaap.co.za/accommodation/son-see-en-sundowners,False,,False
251.0,Antrim Villa,Guest House,920.0,Mid-Range,47.0,4.35,Three Anchor Bay,Cape Town,Cape Town,South Africa,https://www.lekkeslaap.co.za/accommodation/antrim-collection,False,,False
93962.0,9 on Winkle Boutique Guesthouse,Guest House,1101.0,Mid-Range,152.0,14.07,Milnerton,Cape Town,Cape Town,South Africa,https://www.lekkeslaap.co.za/accommodation/9-on-winkle,False,,False
1654.0,Old Mill Lodge & Restaurant,Lodge,810.0,Mid-Range,1080.0,100.0,Oudtshoorn,Garden Route,Garden Route,South Africa,https://www.lekkeslaap.co.za/accommodation/old-mill-country-lodge-a-la-carte-restaurant,False,,False
45652.0,'n Gatvol,Self Catering,1645.0,Premium,74.0,8.22,Herold's Bay,Garden Route,Garden Route,South Africa,https://www.lekkeslaap.co.za/accommodation/gatvol-oos,False,,False
3028.0,De Oude Meul Country Lodge and Restaurant,Guest House,732.0,Mid-Range,447.0,41.39,Oudtshoorn,Garden Route,Garden Route,South Africa,https://www.lekkeslaap.co.za/accommodation/de-oude-meul-country-lodge-and-restaurant,False,,False
120997.0,Cloverleigh Guest House,Guest House,840.0,Mid-Range,32.0,2.96,Wilderness,Garden Route,Garden Route,South Africa,https://www.lekkeslaap.co.za/accommodation/cloverleigh-guest-house,False,,False
126570.0,Garden Route Trail House,Self Catering,1680.0,Premium,13.0,1.44,Sedgefield,Garden Route,Garden Route,South Africa,https://www.lekkeslaap.co.za/accommodation/garden-route-trail-house,False,,False
110959.0,Karoo Retreat Gastehuis,Guest House,1085.0,Mid-Range,124.0,11.48,Oudtshoorn,Garden Route,Garden Route,South Africa,https://www.lekkeslaap.co.za/accommodation/karoo-retreat-gastehuis,False,,False
116547.0,Ria's Rest Self Catering Cottage,Self Catering,853.0,Mid-Range,12.0,1.11,The Island,Garden Route,Garden Route,South Africa,https://www.lekkeslaap.co.za/accommodation/rias-rest-self-catering-flatlet,False,,False
107930.0,Island View,Self Catering,625.0,Budget,17.0,1.26,Island View,Garden Route,Garden Route,South Africa,https://www.lekkeslaap.co.za/accommodation/cycr1,True,50.0,False
85285.0,Outentique Accommodation,Guest House,563.0,Budget,66.0,4.89,Oudtshoorn,Garden Route,Garden Route,South Africa,https://www.lekkeslaap.co.za/accommodation/outentique-accommodation,False,,False
10720.0,Brenton on Sea Cottages,Self Catering,1200.0,Premium,412.0,45.78,Brenton-on-Sea,Garden Route,Garden Route,South Africa,https://www.lekkeslaap.co.za/accommodation/brenton-on-sea-cottages,False,,False
103032.0,Serenity Dome @ Pom' Gratz,Self Catering,1234.0,Premium,36.0,4.0,Tesselaarsdal,Overberg,Overberg,South Africa,https://www.lekkeslaap.co.za/accommodation/pom-gratz,False,,False
12777.0,High Season Farm Luxury Cottages & Venue,Self Catering,2400.0,Premium,61.0,6.78,Hemel-en-Aarde Valley,Overberg,Overberg,South Africa,https://www.lekkeslaap.co.za/accommodation/high-season-farm-luxury-cottages,False,,False
113116.0,WildWood Ocean Cabin,Self Catering,2700.0,Luxury,26.0,3.61,Van Dyks Bay,Overberg,Overberg,South Africa,https://www.lekkeslaap.co.za/accommodation/melkhout-woud-sprokieshuis,False,,False
140322.0,Coastline Serenity Hump Back,Self Catering,754.0,Mid-Range,15.0,1.39,Kleinmond,Overberg,Overberg,South Africa,https://www.lekkeslaap.co.za/accommodation/coastline-serenity-hump-back,False,,False
85215.0,The Heidelberger Self-catering Guest Suite,Self Catering,1305.0,Premium,71.0,7.89,Heidelberg,Overberg,Overberg,South Africa,https://www.lekkeslaap.co.za/accommodation/the-heidelberger,True,10.0,False
97526.0,Jock's View,Self Catering,2200.0,Premium,23.0,2.56,Betty's Bay,Overberg,Overberg,South Africa,https://www.lekkeslaap.co.za/accommodation/jocks-view,False,,False
139700.0,Coastline Serenity Southern Star,Self Catering,1005.0,Mid-Range,22.0,2.04,Kleinmond,Overberg,Overberg,South Africa,https://www.lekkeslaap.co.za/accommodation/coastline-serenity,False,,False
20233.0,The Blue Cow Barn – Boutique Farm Accommodation,B&B,959.0,Mid-Range,171.0,15.83,Barrydale,Overberg,Overberg,South Africa,https://www.lekkeslaap.co.za/accommodation/the-blue-cow-barn-boutique-farm-accommodation,False,,False
113213.0,FynBossies,Self Catering,1575.0,Premium,30.0,3.33,Pearly Beach,Overberg,Overberg,South Africa,https://www.lekkeslaap.co.za/accommodation/fynbossie-12,False,,False
78862.0,18 Storm Sea,Self Catering,1466.0,Premium,76.0,8.44,Agulhas,Overberg,Overberg,South Africa,https://www.lekkeslaap.co.za/accommodation/18-storm-sea,True,33.0,False
78025.0,MINT Hotel 84 on Katherine,Self Catering,910.0,Mid-Range,52.0,4.81,Sandton,Johannesburg,Johannesburg,South Africa,https://www.lekkeslaap.co.za/accommodation/mint-hotel-84-on-katherine,False,,False
73543.0,Lekkerrus Gastehuis,Guest House,765.0,Mid-Range,40.0,3.7,Krugersdorp North,Johannesburg,Johannesburg,South Africa,https://www.lekkeslaap.co.za/accommodation/lekkerrus-gastehuis,False,,False
53692.0,Kyalami Creek Luxury Apartments,Self Catering,1360.0,Premium,28.0,3.11,Willaway,Johannesburg,Johannesburg,South Africa,https://www.lekkeslaap.co.za/accommodation/kyalami-creek-luxury-apartments,False,,False
693.0,No 5 on Franschoek,B&B,969.0,Mid-Range,40.0,3.7,Sandton,Johannesburg,Johannesburg,South Africa,https://www.lekkeslaap.co.za/accommodation/no-5-on-franschoek,False,,False
7215.0,Agterplaas,Guest House,1402.0,Premium,16.0,1.78,Melville,Johannesburg,Johannesburg,South Africa,https://www.lekkeslaap.co.za/accommodation/agterplaas,False,,False
1077.0,Cherry Tree Cottage Linden B&B,Guest House,1112.0,Mid-Range,39.0,3.61,Linden,Johannesburg,Johannesburg,South Africa,https://www.lekkeslaap.co.za/accommodation/cherry-tree-cottage-b-b,False,,False
2566.0,Afrique Boutique Hotel OR Tambo,Hotel,2295.0,Premium,59.0,6.56,Beyers Park,Johannesburg,Johannesburg,South Africa,https://www.lekkeslaap.co.za/accommodation/afrique-boutique-hotel,False,,False
388.0,Woodpecker's Inn Guest House,Guest House,1530.0,Premium,13.0,1.44,Glen Marais,Johannesburg,Johannesburg,South Africa,https://www.lekkeslaap.co.za/accommodation/woodpeckers-inn,False,,False
28625.0,Belvedere Estate Nomad Lodge,B&B,1290.0,Premium,14.0,1.56,Glen Austin,Johannesburg,Johannesburg,South Africa,https://www.lekkeslaap.co.za/accommodation/belvedere-estate-luxury-guest-lodge,False,,False
80845.0,Bosveld In Die Stad 2 Guesthouse,Guest House,650.0,Budget,80.0,5.93,Randhart,Johannesburg,Johannesburg,South Africa,https://www.lekkeslaap.co.za/accommodation/bosveld-in-die-stad-2,False,,False
11326.0,Boord Gastehuis,B&B,1188.0,Mid-Range,122.0,11.3,Die Boord,Cape Winelands,Cape Winelands,South Africa,https://www.lekkeslaap.co.za/accommodation/boord-guesthouse,False,,False
112376.0,Pearl of the Paarl,Self Catering,1360.0,Premium,27.0,3.0,Paarl,Cape Winelands,Cape Winelands,South Africa,https://www.lekkeslaap.co.za/accommodation/26-queens-terrace,False,,False
61545.0,Vlettershof Guest House,Guest House,846.0,Mid-Range,108.0,10.0,Robertson,Cape Winelands,Cape Winelands,South Africa,https://www.lekkeslaap.co.za/accommodation/vlettershof-guest-house,False,,False
117990.0,Kloofhuis,Self Catering,950.0,Mid-Range,56.0,5.19,Paarl,Cape Winelands,Cape Winelands,South Africa,https://www.lekkeslaap.co.za/accommodation/kloofhuis,False,,False
78011.0,Wildeberg Elephants Trail Cottage,Self Catering,2650.0,Luxury,52.0,7.22,Franschhoek,Cape Winelands,Cape Winelands,South Africa,https://www.lekkeslaap.co.za/accommodation/elephants-trail-cottage,False,,False
100381.0,The Botanical House,Self Catering,1260.0,Premium,14.0,1.56,Somerset West,Cape Winelands,Cape Winelands,South Africa,https://www.lekkeslaap.co.za/accommodation/the-botanical-house,False,,False
27958.0,Domaine Coutelier,Self Catering,468.0,Budget,159.0,11.78,Stellenbosch,Cape Winelands,Cape Winelands,South Africa,https://www.lekkeslaap.co.za/accommodation/domaine-coutelier,True,50.0,False
72266.0,Lank-gewag Cottages,Self Catering,1565.0,Premium,123.0,13.67,Cape Route 62,Cape Winelands,Cape Winelands,South Africa,https://www.lekkeslaap.co.za/accommodation/lank-gewag-cottages,False,,False
141744.0,Kleine Nest@Foxglove,Self Catering,734.0,Mid-Range,8.0,0.74,Groenvlei,Cape Winelands,Cape Winelands,South Africa,https://www.lekkeslaap.co.za/accommodation/kleine-nestfoxglove,False,,False
65888.0,Uitkyk House,Self Catering,2990.0,Luxury,103.0,14.31,Prince Albert,Karoo,Karoo,South Africa,https://www.lekkeslaap.co.za/accommodation/uitkyk-house,False,,False
127244.0,Le Petit Karoo,Guest House,867.0,Mid-Range,33.0,3.06,Oudtshoorn,Karoo,Karoo,South Africa,https://www.lekkeslaap.co.za/accommodation/le-petit-karoo,False,,False
